,agent_gender,agent_year_of_birth,footfall,staypoint_planningarea,datetime
47,NA,1940,40,AM,21/2/2018 23:00
141,NA,1942,40,AM,21/2/2018 23:00
36,NA,1943,40,AM,21/2/2018 23:00
56,NA,1945,40,AM,21/2/2018 23:00
38,NA,1946,40,AM,21/2/2018 23:00
49,NA,1947,40,AM,21/2/2018 23:00
55,NA,1948,40,AM,21/2/2018 23:00
146,NA,1949,40,AM,21/2/2018 23:00
143,NA,1950,40,AM,21/2/2018 23:00
204,NA,1951,40,AM,21/2/2018 23:00
48,NA,1952,40,AM,21/2/2018 23:00
58,NA,1953,40,AM,21/2/2018 23:00
64,NA,1954,40,AM,21/2/2018 23:00
113,NA,1955,40,AM,21/2/2018 23:00
205,NA,1956,40,AM,21/2/2018 23:00
33,NA,1957,40,AM,21/2/2018 23:00
54,NA,1958,40,AM,21/2/2018 23:00
57,NA,1959,40,AM,21/2/2018 23:00
35,NA,1960,40,AM,21/2/2018 23:00
60,NA,1961,40,AM,21/2/2018 23:00
115,NA,1962,40,AM,21/2/2018 23:00
206,NA,1963,40,AM,21/2/2018 23:00
37,NA,1964,40,AM,21/2/2018 23:00
200,NA,1965,40,AM,21/2/2018 23:00
1886,NA,1966,40,AM,21/2/2018 23:00
114,NA,1967,40,AM,21/2/2018 23:00
62,NA,1968,40,AM,21/2/2018 23:00
61,NA,1969,40,AM,21/2/2018 23:00
148,NA,1970,40,AM,21/2/2018 23:00
51,NA,1971,40,AM,21/2/2018 23:00
203,NA,1972,40,AM,21/2/2018 23:00
1564,NA,1973,40,AM,21/2/2018 23:00
4833,NA,1974,40,AM,21/2/2018 23:00
1562,NA,1975,40,AM,21/2/2018 23:00
30,NA,1976,40,AM,21/2/2018 23:00
197,NA,1977,40,AM,21/2/2018 23:00
321,NA,1978,40,AM,21/2/2018 23:00
198,NA,1979,40,AM,21/2/2018 23:00
1170,NA,1980,40,AM,21/2/2018 23:00
32,NA,1981,40,AM,21/2/2018 23:00
34,NA,1982,40,AM,21/2/2018 23:00
63,NA,1983,40,AM,21/2/2018 23:00
1885,NA,1984,40,AM,21/2/2018 23:00
202,NA,1985,40,AM,21/2/2018 23:00
1563,NA,1987,40,AM,21/2/2018 23:00
1561,NA,1988,40,AM,21/2/2018 23:00
28,NA,1991,40,AM,21/2/2018 23:00
199,NA,1993,40,AM,21/2/2018 23:00
241,NA,1996,40,AM,21/2/2018 23:00
29,NA,1997,40,AM,21/2/2018 23:00
149,NA,1998,40,AM,21/2/2018 23:00
1784,NA,1999,40,AM,21/2/2018 23:00
112,NA,2000,40,AM,21/2/2018 23:00
1309,NA,2001,40,AM,21/2/2018 23:00
1883,NA,2002,40,AM,21/2/2018 23:00
4317,NA,NA,4536,AM,21/2/2018 22:00
4312,M,NA,443,AM,21/2/2018 22:00
1884,F,NA,243,AM,21/2/2018 22:00
31,NA,1990,136,AM,21/2/2018 22:00
3996,NA,1992,127,AM,21/2/2018 22:00
195,M,1968,119,AM,21/2/2018 22:00
196,NA,1994,105,AM,21/2/2018 22:00
1786,NA,1989,104,AM,21/2/2018 22:00
201,NA,1988,103,AM,21/2/2018 22:00
1488,M,1988,101,AM,21/2/2018 22:00
1785,NA,1995,101,AM,21/2/2018 22:00
3997,M,1972,95,AM,21/2/2018 22:00
1887,NA,1987,93,AM,21/2/2018 22:00
1888,NA,1991,92,AM,21/2/2018 22:00
4535,M,1985,88,AM,21/2/2018 22:00
27,M,1990,88,AM,21/2/2018 22:00
1565,NA,1993,88,AM,21/2/2018 22:00
3993,F,1991,86,AM,21/2/2018 22:00
65,M,1970,86,AM,21/2/2018 22:00
464,M,1971,85,AM,21/2/2018 22:00
110,NA,1985,85,AM,21/2/2018 22:00
111,NA,1996,85,AM,21/2/2018 22:00
1489,NA,1998,85,AM,21/2/2018 22:00
1491,F,1972,82,AM,21/2/2018 22:00
1880,M,1989,82,AM,21/2/2018 22:00
5100,F,1990,81,AM,21/2/2018 22:00
462,M,1961,81,AM,21/2/2018 22:00
4313,M,1969,81,AM,21/2/2018 22:00
1882,NA,1986,80,AM,21/2/2018 22:00
3768,NA,1984,78,AM,21/2/2018 22:00
3994,F,1993,77,AM,21/2/2018 22:00
4001,M,1991,77,AM,21/2/2018 22:00
4214,M,1963,76,AM,21/2/2018 22:00
4315,F,1969,74,AM,21/2/2018 22:00
150,NA,1982,74,AM,21/2/2018 22:00
1560,F,1973,73,AM,21/2/2018 22:00
1566,NA,1980,73,AM,21/2/2018 22:00
4318,NA,1997,73,AM,21/2/2018 22:00
1663,M,1965,72,AM,21/2/2018 22:00
4218,M,1976,72,AM,21/2/2018 22:00
4316,F,1985,70,AM,21/2/2018 22:00
193,F,1987,70,AM,21/2/2018 22:00
1879,F,1988,70,AM,21/2/2018 22:00
3998,M,1987,70,AM,21/2/2018 22:00
4749,F,1968,69,AM,21/2/2018 22:00
1486,F,1992,69,AM,21/2/2018 22:00
1490,M,1974,69,AM,21/2/2018 22:00
1779,M,1983,69,AM,21/2/2018 22:00
2104,M,1984,69,AM,21/2/2018 22:00
4092,M,1992,69,AM,21/2/2018 22:00
2101,F,1970,68,AM,21/2/2018 22:00
4216,F,1979,68,AM,21/2/2018 22:00
1558,M,1975,68,AM,21/2/2018 22:00
1662,M,1978,68,AM,21/2/2018 22:00
3919,NA,1978,66,AM,21/2/2018 22:00
4141,F,1989,65,AM,21/2/2018 22:00
4314,M,1956,65,AM,21/2/2018 22:00
1788,M,1973,65,AM,21/2/2018 22:00
3986,M,1981,65,AM,21/2/2018 22:00
3991,M,1982,65,AM,21/2/2018 22:00
3995,NA,1975,65,AM,21/2/2018 22:00
4093,F,1961,63,AM,21/2/2018 22:00
4220,M,1986,63,AM,21/2/2018 22:00
4221,NA,1972,63,AM,21/2/2018 22:00
1661,NA,1973,63,AM,21/2/2018 22:00
2323,M,1959,62,AM,21/2/2018 22:00
4534,M,1960,59,AM,21/2/2018 22:00
