,agent_gender,agent_year_of_birth,footfall,staypoint_planningarea,datetime
3198,NA,1950,40,AM,21/2/2018 18:00
3555,NA,1999,40,AM,21/2/2018 18:00
3689,NA,2000,40,AM,21/2/2018 18:00
3706,NA,2001,40,AM,21/2/2018 18:00
4132,NA,2002,40,AM,21/2/2018 18:00
4161,NA,2003,40,AM,21/2/2018 18:00
4164,NA,NA,5893,AM,21/2/2018 17:00
4519,M,NA,888,AM,21/2/2018 17:00
4520,F,NA,394,AM,21/2/2018 17:00
4956,M,1969,180,AM,21/2/2018 17:00
104,M,1971,147,AM,21/2/2018 17:00
285,M,1961,144,AM,21/2/2018 17:00
1421,M,1968,134,AM,21/2/2018 17:00
1733,NA,1991,128,AM,21/2/2018 17:00
1939,M,1970,124,AM,21/2/2018 17:00
2308,NA,1989,123,AM,21/2/2018 17:00
2439,NA,1979,122,AM,21/2/2018 17:00
2526,NA,1992,120,AM,21/2/2018 17:00
2671,M,1960,119,AM,21/2/2018 17:00
2766,M,1972,117,AM,21/2/2018 17:00
2804,NA,1985,117,AM,21/2/2018 17:00
2814,M,1962,116,AM,21/2/2018 17:00
2869,M,1963,116,AM,21/2/2018 17:00
2959,M,1965,115,AM,21/2/2018 17:00
3034,NA,1980,115,AM,21/2/2018 17:00
3097,NA,1988,115,AM,21/2/2018 17:00
3107,F,1971,112,AM,21/2/2018 17:00
3188,F,1972,112,AM,21/2/2018 17:00
3199,M,1973,112,AM,21/2/2018 17:00
3260,M,1974,112,AM,21/2/2018 17:00
3261,M,1958,111,AM,21/2/2018 17:00
3318,NA,1990,111,AM,21/2/2018 17:00
3407,M,1975,105,AM,21/2/2018 17:00
3633,NA,1973,105,AM,21/2/2018 17:00
3705,F,1968,104,AM,21/2/2018 17:00
3785,F,1970,104,AM,21/2/2018 17:00
3787,M,1976,103,AM,21/2/2018 17:00
3852,NA,1986,103,AM,21/2/2018 17:00
4017,F,1973,101,AM,21/2/2018 17:00
4078,M,1967,100,AM,21/2/2018 17:00
4359,NA,1987,100,AM,21/2/2018 17:00
4423,NA,1971,99,AM,21/2/2018 17:00
4510,NA,1994,99,AM,21/2/2018 17:00
4516,M,1964,97,AM,21/2/2018 17:00
4539,NA,1983,97,AM,21/2/2018 17:00
4599,M,1977,96,AM,21/2/2018 17:00
4821,NA,1975,95,AM,21/2/2018 17:00
4889,M,1978,93,AM,21/2/2018 17:00
420,M,1979,93,AM,21/2/2018 17:00
1437,NA,1969,93,AM,21/2/2018 17:00
1551,NA,1978,93,AM,21/2/2018 17:00
1807,M,1966,92,AM,21/2/2018 17:00
2009,NA,1984,92,AM,21/2/2018 17:00
2018,F,1966,90,AM,21/2/2018 17:00
2516,F,1974,90,AM,21/2/2018 17:00
2646,F,1978,90,AM,21/2/2018 17:00
3091,M,1957,90,AM,21/2/2018 17:00
3206,F,1969,89,AM,21/2/2018 17:00
3420,NA,1968,89,AM,21/2/2018 17:00
3487,NA,1995,89,AM,21/2/2018 17:00
3558,F,1967,88,AM,21/2/2018 17:00
3625,M,1980,88,AM,21/2/2018 17:00
3638,NA,1982,88,AM,21/2/2018 17:00
3700,M,1956,86,AM,21/2/2018 17:00
3911,NA,1974,86,AM,21/2/2018 17:00
3944,NA,1977,86,AM,21/2/2018 17:00
4060,NA,1981,86,AM,21/2/2018 17:00
4098,M,1985,84,AM,21/2/2018 17:00
4134,NA,1970,84,AM,21/2/2018 17:00
4425,M,1954,81,AM,21/2/2018 17:00
4576,M,1959,81,AM,21/2/2018 17:00
4590,NA,1993,81,AM,21/2/2018 17:00
4602,F,1977,80,AM,21/2/2018 17:00
4646,M,1982,80,AM,21/2/2018 17:00
4861,F,1965,78,AM,21/2/2018 17:00
183,F,1982,78,AM,21/2/2018 17:00
184,F,1981,77,AM,21/2/2018 17:00
1426,M,1986,77,AM,21/2/2018 17:00
1429,M,1988,77,AM,21/2/2018 17:00
1435,NA,1972,77,AM,21/2/2018 17:00
1436,F,1976,76,AM,21/2/2018 17:00
1937,NA,1964,74,AM,21/2/2018 17:00
2023,NA,1976,74,AM,21/2/2018 17:00
2302,F,1975,73,AM,21/2/2018 17:00
2326,M,1989,73,AM,21/2/2018 17:00
2430,NA,1963,73,AM,21/2/2018 17:00
2587,F,1961,70,AM,21/2/2018 17:00
2590,F,1985,70,AM,21/2/2018 17:00
2743,M,1981,70,AM,21/2/2018 17:00
2802,M,1990,70,AM,21/2/2018 17:00
2872,NA,1966,70,AM,21/2/2018 17:00
2896,F,1983,69,AM,21/2/2018 17:00
2956,F,1979,68,AM,21/2/2018 17:00
2961,M,1955,68,AM,21/2/2018 17:00
3113,NA,1965,68,AM,21/2/2018 17:00
3116,F,1959,65,AM,21/2/2018 17:00
3184,F,1963,65,AM,21/2/2018 17:00
3207,NA,1960,65,AM,21/2/2018 17:00
3408,F,1957,63,AM,21/2/2018 17:00
3622,F,1984,63,AM,21/2/2018 17:00
3844,F,1987,62,AM,21/2/2018 17:00
3856,F,1958,59,AM,21/2/2018 17:00
3907,F,1960,59,AM,21/2/2018 17:00
4165,NA,1954,59,AM,21/2/2018 17:00
4283,NA,1959,59,AM,21/2/2018 17:00
4383,NA,1967,59,AM,21/2/2018 17:00
4384,F,1964,58,AM,21/2/2018 17:00
4443,M,1953,58,AM,21/2/2018 17:00
4452,M,1991,58,AM,21/2/2018 17:00
4648,NA,1958,58,AM,21/2/2018 17:00
4656,NA,1996,58,AM,21/2/2018 17:00
4797,F,1980,57,AM,21/2/2018 17:00
4954,M,1983,57,AM,21/2/2018 17:00
422,NA,1955,57,AM,21/2/2018 17:00
1504,F,1962,55,AM,21/2/2018 17:00
1594,NA,1957,55,AM,21/2/2018 17:00
1634,F,1988,53,AM,21/2/2018 17:00
1668,M,1984,51,AM,21/2/2018 17:00
1703,M,1987,51,AM,21/2/2018 17:00
1728,M,1998,51,AM,21/2/2018 17:00
1991,NA,1998,51,AM,21/2/2018 17:00
2080,F,1993,50,AM,21/2/2018 17:00
2152,NA,1997,50,AM,21/2/2018 17:00
2434,F,1986,49,AM,21/2/2018 17:00
2668,M,1993,47,AM,21/2/2018 17:00
2673,M,1994,47,AM,21/2/2018 17:00
2740,NA,1961,47,AM,21/2/2018 17:00
2893,F,1990,46,AM,21/2/2018 17:00
2968,M,1951,46,AM,21/2/2018 17:00
3021,NA,1962,46,AM,21/2/2018 17:00
3024,M,1952,45,AM,21/2/2018 17:00
3027,M,1992,43,AM,21/2/2018 17:00
3037,NA,1956,43,AM,21/2/2018 17:00
3182,NA,1953,42,AM,21/2/2018 17:00
3195,F,1955,41,AM,21/2/2018 17:00
3335,F,1989,41,AM,21/2/2018 17:00
3418,F,1991,41,AM,21/2/2018 17:00
3699,M,1949,41,AM,21/2/2018 17:00
3788,F,1931,40,AM,21/2/2018 17:00
3843,F,1933,40,AM,21/2/2018 17:00
4023,F,1940,40,AM,21/2/2018 17:00
4065,F,1941,40,AM,21/2/2018 17:00
4128,F,1942,40,AM,21/2/2018 17:00
4129,F,1943,40,AM,21/2/2018 17:00
4241,F,1944,40,AM,21/2/2018 17:00
4291,F,1945,40,AM,21/2/2018 17:00
4356,F,1946,40,AM,21/2/2018 17:00
4369,F,1947,40,AM,21/2/2018 17:00
4375,F,1948,40,AM,21/2/2018 17:00
4387,F,1949,40,AM,21/2/2018 17:00
4511,F,1950,40,AM,21/2/2018 17:00
4588,F,1951,40,AM,21/2/2018 17:00
4673,F,1952,40,AM,21/2/2018 17:00
4735,F,1953,40,AM,21/2/2018 17:00
4801,F,1954,40,AM,21/2/2018 17:00
4952,F,1956,40,AM,21/2/2018 17:00
4969,F,1992,40,AM,21/2/2018 17:00
22,F,1994,40,AM,21/2/2018 17:00
425,F,1995,40,AM,21/2/2018 17:00
1431,F,1996,40,AM,21/2/2018 17:00
1577,F,1997,40,AM,21/2/2018 17:00
1743,F,1998,40,AM,21/2/2018 17:00
1852,F,1999,40,AM,21/2/2018 17:00
1944,F,2000,40,AM,21/2/2018 17:00
2230,F,2001,40,AM,21/2/2018 17:00
2513,F,2002,40,AM,21/2/2018 17:00
2520,F,2003,40,AM,21/2/2018 17:00
2525,F,2004,40,AM,21/2/2018 17:00
2669,F,2006,40,AM,21/2/2018 17:00
2801,F,2013,40,AM,21/2/2018 17:00
2891,F,2015,40,AM,21/2/2018 17:00
2960,M,1933,40,AM,21/2/2018 17:00
3110,M,1934,40,AM,21/2/2018 17:00
3208,M,1935,40,AM,21/2/2018 17:00
3421,M,1936,40,AM,21/2/2018 17:00
3478,M,1937,40,AM,21/2/2018 17:00
3978,M,1939,40,AM,21/2/2018 17:00
4062,M,1940,40,AM,21/2/2018 17:00
4540,M,1941,40,AM,21/2/2018 17:00
4662,M,1942,40,AM,21/2/2018 17:00
4669,M,1943,40,AM,21/2/2018 17:00
4734,M,1944,40,AM,21/2/2018 17:00
4863,M,1945,40,AM,21/2/2018 17:00
4874,M,1946,40,AM,21/2/2018 17:00
418,M,1947,40,AM,21/2/2018 17:00
468,M,1948,40,AM,21/2/2018 17:00
1345,M,1950,40,AM,21/2/2018 17:00
1581,M,1995,40,AM,21/2/2018 17:00
1730,M,1996,40,AM,21/2/2018 17:00
1941,M,1997,40,AM,21/2/2018 17:00
2024,M,1999,40,AM,21/2/2018 17:00
2081,M,2000,40,AM,21/2/2018 17:00
2150,M,2001,40,AM,21/2/2018 17:00
2235,M,2002,40,AM,21/2/2018 17:00
2366,M,2003,40,AM,21/2/2018 17:00
2373,M,2004,40,AM,21/2/2018 17:00
2512,M,2005,40,AM,21/2/2018 17:00
2584,M,2006,40,AM,21/2/2018 17:00
2585,M,2007,40,AM,21/2/2018 17:00
2594,M,2008,40,AM,21/2/2018 17:00
2675,NA,1925,40,AM,21/2/2018 17:00
2681,NA,1929,40,AM,21/2/2018 17:00
2688,NA,1930,40,AM,21/2/2018 17:00
3090,NA,1932,40,AM,21/2/2018 17:00
3114,NA,1933,40,AM,21/2/2018 17:00
3179,NA,1934,40,AM,21/2/2018 17:00
3483,NA,1935,40,AM,21/2/2018 17:00
3620,NA,1936,40,AM,21/2/2018 17:00
3685,NA,1937,40,AM,21/2/2018 17:00
3709,NA,1938,40,AM,21/2/2018 17:00
3780,NA,1939,40,AM,21/2/2018 17:00
3789,NA,1940,40,AM,21/2/2018 17:00
3846,NA,1941,40,AM,21/2/2018 17:00
3909,NA,1942,40,AM,21/2/2018 17:00
4019,NA,1943,40,AM,21/2/2018 17:00
4285,NA,1944,40,AM,21/2/2018 17:00
4287,NA,1945,40,AM,21/2/2018 17:00
4455,NA,1946,40,AM,21/2/2018 17:00
4575,NA,1947,40,AM,21/2/2018 17:00
4728,NA,1948,40,AM,21/2/2018 17:00
4813,NA,1949,40,AM,21/2/2018 17:00
4815,NA,1950,40,AM,21/2/2018 17:00
4816,NA,1951,40,AM,21/2/2018 17:00
4885,NA,1952,40,AM,21/2/2018 17:00
1420,NA,1999,40,AM,21/2/2018 17:00
1440,NA,2000,40,AM,21/2/2018 17:00
1477,NA,2001,40,AM,21/2/2018 17:00
1505,NA,2002,40,AM,21/2/2018 17:00
1519,NA,2003,40,AM,21/2/2018 17:00
1580,NA,2013,40,AM,21/2/2018 17:00
1769,NA,NA,5220,AM,21/2/2018 16:00
1893,M,NA,717,AM,21/2/2018 16:00
2012,F,NA,360,AM,21/2/2018 16:00
2019,M,1968,140,AM,21/2/2018 16:00
2020,M,1972,136,AM,21/2/2018 16:00
2156,M,1970,127,AM,21/2/2018 16:00
2307,M,1971,127,AM,21/2/2018 16:00
2310,NA,1992,127,AM,21/2/2018 16:00
2450,NA,1986,115,AM,21/2/2018 16:00
2457,M,1969,112,AM,21/2/2018 16:00
2745,NA,1988,109,AM,21/2/2018 16:00
2899,M,1964,104,AM,21/2/2018 16:00
3121,NA,1989,104,AM,21/2/2018 16:00
3338,NA,1993,103,AM,21/2/2018 16:00
3707,M,1960,101,AM,21/2/2018 16:00
4056,M,1965,101,AM,21/2/2018 16:00
4131,NA,1991,101,AM,21/2/2018 16:00
4457,M,1973,100,AM,21/2/2018 16:00
4459,M,1961,99,AM,21/2/2018 16:00
4512,M,1963,99,AM,21/2/2018 16:00
4592,M,1966,99,AM,21/2/2018 16:00
4598,NA,1970,97,AM,21/2/2018 16:00
4603,NA,1974,97,AM,21/2/2018 16:00
4655,NA,1983,97,AM,21/2/2018 16:00
4796,F,1972,96,AM,21/2/2018 16:00
4820,NA,1978,96,AM,21/2/2018 16:00
4872,NA,1981,95,AM,21/2/2018 16:00
4881,F,1968,93,AM,21/2/2018 16:00
4882,M,1962,93,AM,21/2/2018 16:00
4890,NA,1976,93,AM,21/2/2018 16:00
1268,F,1970,92,AM,21/2/2018 16:00
1336,F,1971,92,AM,21/2/2018 16:00
1518,M,1956,92,AM,21/2/2018 16:00
1632,NA,1990,92,AM,21/2/2018 16:00
1808,NA,1994,92,AM,21/2/2018 16:00
1859,M,1959,90,AM,21/2/2018 16:00
1927,M,1967,90,AM,21/2/2018 16:00
1942,NA,1984,90,AM,21/2/2018 16:00
1986,F,1973,89,AM,21/2/2018 16:00
2071,M,1975,89,AM,21/2/2018 16:00
2110,NA,1972,89,AM,21/2/2018 16:00
2146,NA,1975,89,AM,21/2/2018 16:00
2233,NA,1985,89,AM,21/2/2018 16:00
2375,NA,1968,88,AM,21/2/2018 16:00
2449,M,1982,86,AM,21/2/2018 16:00
2577,M,1958,85,AM,21/2/2018 16:00
3036,NA,1973,85,AM,21/2/2018 16:00
3039,NA,1979,84,AM,21/2/2018 16:00
3088,NA,1987,84,AM,21/2/2018 16:00
3111,M,1976,82,AM,21/2/2018 16:00
3254,NA,1971,82,AM,21/2/2018 16:00
3337,NA,1980,80,AM,21/2/2018 16:00
3406,M,1974,78,AM,21/2/2018 16:00
3422,NA,1977,77,AM,21/2/2018 16:00
3536,F,1978,76,AM,21/2/2018 16:00
3561,M,1977,76,AM,21/2/2018 16:00
3703,NA,1969,76,AM,21/2/2018 16:00
3754,NA,1982,76,AM,21/2/2018 16:00
3845,NA,1966,74,AM,21/2/2018 16:00
3908,F,1969,72,AM,21/2/2018 16:00
3943,F,1974,70,AM,21/2/2018 16:00
4127,NA,1964,70,AM,21/2/2018 16:00
4649,M,1955,68,AM,21/2/2018 16:00
4661,M,1980,68,AM,21/2/2018 16:00
4668,F,1960,66,AM,21/2/2018 16:00
4798,M,1983,66,AM,21/2/2018 16:00
4807,M,1984,66,AM,21/2/2018 16:00
4873,M,1988,66,AM,21/2/2018 16:00
4876,NA,1959,66,AM,21/2/2018 16:00
359,F,1976,65,AM,21/2/2018 16:00
421,M,1981,63,AM,21/2/2018 16:00
423,M,1989,63,AM,21/2/2018 16:00
1332,NA,1965,63,AM,21/2/2018 16:00
1333,NA,1967,63,AM,21/2/2018 16:00
1334,NA,1995,63,AM,21/2/2018 16:00
1439,F,1966,62,AM,21/2/2018 16:00
1547,F,1981,62,AM,21/2/2018 16:00
1635,F,1964,59,AM,21/2/2018 16:00
2374,F,1977,59,AM,21/2/2018 16:00
2429,F,1984,59,AM,21/2/2018 16:00
2514,NA,1963,59,AM,21/2/2018 16:00
2580,F,1959,58,AM,21/2/2018 16:00
2596,F,1963,58,AM,21/2/2018 16:00
2739,M,1957,58,AM,21/2/2018 16:00
2744,M,1985,58,AM,21/2/2018 16:00
2816,NA,1961,58,AM,21/2/2018 16:00
2871,M,1954,57,AM,21/2/2018 16:00
2894,F,1975,55,AM,21/2/2018 16:00
2957,M,1978,55,AM,21/2/2018 16:00
3025,M,1991,55,AM,21/2/2018 16:00
3270,F,1967,54,AM,21/2/2018 16:00
3315,F,1979,54,AM,21/2/2018 16:00
3469,F,1965,53,AM,21/2/2018 16:00
3564,F,1982,53,AM,21/2/2018 16:00
3565,F,1983,53,AM,21/2/2018 16:00
3569,F,1985,53,AM,21/2/2018 16:00
3615,F,1986,53,AM,21/2/2018 16:00
3945,M,1952,53,AM,21/2/2018 16:00
4064,NA,1996,53,AM,21/2/2018 16:00
4286,F,1957,51,AM,21/2/2018 16:00
4449,NA,1962,51,AM,21/2/2018 16:00
4591,F,1962,50,AM,21/2/2018 16:00
4639,M,1953,50,AM,21/2/2018 16:00
4642,NA,1957,50,AM,21/2/2018 16:00
4658,NA,1958,50,AM,21/2/2018 16:00
4758,M,1990,49,AM,21/2/2018 16:00
4950,M,1992,47,AM,21/2/2018 16:00
103,F,1980,46,AM,21/2/2018 16:00
358,M,1986,45,AM,21/2/2018 16:00
1433,F,1961,43,AM,21/2/2018 16:00
1438,F,1987,43,AM,21/2/2018 16:00
1478,NA,1952,43,AM,21/2/2018 16:00
1583,F,1956,42,AM,21/2/2018 16:00
1938,F,1958,42,AM,21/2/2018 16:00
2021,M,1950,42,AM,21/2/2018 16:00
2074,NA,1956,42,AM,21/2/2018 16:00
2078,NA,1960,42,AM,21/2/2018 16:00
2365,M,1979,41,AM,21/2/2018 16:00
2376,M,1998,41,AM,21/2/2018 16:00
2455,F,1935,40,AM,21/2/2018 16:00
2578,F,1936,40,AM,21/2/2018 16:00
2597,F,1938,40,AM,21/2/2018 16:00
2648,F,1939,40,AM,21/2/2018 16:00
2735,F,1940,40,AM,21/2/2018 16:00
2742,F,1941,40,AM,21/2/2018 16:00
2813,F,1942,40,AM,21/2/2018 16:00
2868,F,1943,40,AM,21/2/2018 16:00
2897,F,1944,40,AM,21/2/2018 16:00
2951,F,1945,40,AM,21/2/2018 16:00
2985,F,1946,40,AM,21/2/2018 16:00
3086,F,1947,40,AM,21/2/2018 16:00
3247,F,1948,40,AM,21/2/2018 16:00
3249,F,1949,40,AM,21/2/2018 16:00
3409,F,1950,40,AM,21/2/2018 16:00
3485,F,1951,40,AM,21/2/2018 16:00
3683,F,1952,40,AM,21/2/2018 16:00
3687,F,1953,40,AM,21/2/2018 16:00
3840,F,1954,40,AM,21/2/2018 16:00
4018,F,1955,40,AM,21/2/2018 16:00
4057,F,1988,40,AM,21/2/2018 16:00
4068,F,1989,40,AM,21/2/2018 16:00
4351,F,1990,40,AM,21/2/2018 16:00
4357,F,1991,40,AM,21/2/2018 16:00
4421,F,1992,40,AM,21/2/2018 16:00
4601,F,1993,40,AM,21/2/2018 16:00
4726,F,1994,40,AM,21/2/2018 16:00
4731,F,1995,40,AM,21/2/2018 16:00
4757,F,1996,40,AM,21/2/2018 16:00
4817,F,1997,40,AM,21/2/2018 16:00
4854,F,1998,40,AM,21/2/2018 16:00
4871,F,1999,40,AM,21/2/2018 16:00
4879,F,2000,40,AM,21/2/2018 16:00
4880,F,2001,40,AM,21/2/2018 16:00
4947,F,2002,40,AM,21/2/2018 16:00
1271,F,2003,40,AM,21/2/2018 16:00
1637,F,2004,40,AM,21/2/2018 16:00
1813,F,2006,40,AM,21/2/2018 16:00
1858,M,1934,40,AM,21/2/2018 16:00
1922,M,1936,40,AM,21/2/2018 16:00
1953,M,1937,40,AM,21/2/2018 16:00
1988,M,1938,40,AM,21/2/2018 16:00
2075,M,1939,40,AM,21/2/2018 16:00
2524,M,1940,40,AM,21/2/2018 16:00
2529,M,1941,40,AM,21/2/2018 16:00
2543,M,1942,40,AM,21/2/2018 16:00
2680,M,1943,40,AM,21/2/2018 16:00
2689,M,1944,40,AM,21/2/2018 16:00
2741,M,1945,40,AM,21/2/2018 16:00
2903,M,1946,40,AM,21/2/2018 16:00
2958,M,1947,40,AM,21/2/2018 16:00
3041,M,1948,40,AM,21/2/2018 16:00
3250,M,1949,40,AM,21/2/2018 16:00
3562,M,1951,40,AM,21/2/2018 16:00
3570,M,1987,40,AM,21/2/2018 16:00
3621,M,1993,40,AM,21/2/2018 16:00
3623,M,1994,40,AM,21/2/2018 16:00
3651,M,1995,40,AM,21/2/2018 16:00
3681,M,1996,40,AM,21/2/2018 16:00
3708,M,1997,40,AM,21/2/2018 16:00
4100,M,1999,40,AM,21/2/2018 16:00
4386,M,2000,40,AM,21/2/2018 16:00
4570,M,2001,40,AM,21/2/2018 16:00
4595,M,2002,40,AM,21/2/2018 16:00
4596,M,2003,40,AM,21/2/2018 16:00
4637,M,2004,40,AM,21/2/2018 16:00
4789,M,2006,40,AM,21/2/2018 16:00
4884,M,2007,40,AM,21/2/2018 16:00
4944,NA,1924,40,AM,21/2/2018 16:00
4945,NA,1932,40,AM,21/2/2018 16:00
20,NA,1934,40,AM,21/2/2018 16:00
1335,NA,1936,40,AM,21/2/2018 16:00
1347,NA,1937,40,AM,21/2/2018 16:00
1418,NA,1938,40,AM,21/2/2018 16:00
1427,NA,1939,40,AM,21/2/2018 16:00
1428,NA,1940,40,AM,21/2/2018 16:00
1432,NA,1941,40,AM,21/2/2018 16:00
1434,NA,1942,40,AM,21/2/2018 16:00
1503,NA,1943,40,AM,21/2/2018 16:00
1506,NA,1944,40,AM,21/2/2018 16:00
1509,NA,1945,40,AM,21/2/2018 16:00
1699,NA,1946,40,AM,21/2/2018 16:00
1738,NA,1947,40,AM,21/2/2018 16:00
1949,NA,1948,40,AM,21/2/2018 16:00
2034,NA,1949,40,AM,21/2/2018 16:00
2158,NA,1950,40,AM,21/2/2018 16:00
2297,NA,1951,40,AM,21/2/2018 16:00
2368,NA,1953,40,AM,21/2/2018 16:00
2377,NA,1954,40,AM,21/2/2018 16:00
2378,NA,1955,40,AM,21/2/2018 16:00
2456,NA,1997,40,AM,21/2/2018 16:00
2460,NA,1998,40,AM,21/2/2018 16:00
2676,NA,1999,40,AM,21/2/2018 16:00
2679,NA,2000,40,AM,21/2/2018 16:00
2892,NA,2001,40,AM,21/2/2018 16:00
2954,NA,2002,40,AM,21/2/2018 16:00
3040,NA,2003,40,AM,21/2/2018 16:00
3190,NA,2013,40,AM,21/2/2018 16:00
3262,NA,NA,5423,AM,21/2/2018 15:00
3313,M,NA,698,AM,21/2/2018 15:00
3314,F,NA,332,AM,21/2/2018 15:00
3340,M,1970,135,AM,21/2/2018 15:00
3415,M,1971,126,AM,21/2/2018 15:00
3475,M,1968,123,AM,21/2/2018 15:00
3490,M,1969,123,AM,21/2/2018 15:00
3711,M,1972,119,AM,21/2/2018 15:00
4059,M,1963,116,AM,21/2/2018 15:00
4099,M,1961,111,AM,21/2/2018 15:00
4199,F,1971,105,AM,21/2/2018 15:00
4290,M,1964,105,AM,21/2/2018 15:00
4577,M,1962,103,AM,21/2/2018 15:00
4638,M,1965,103,AM,21/2/2018 15:00
4857,M,1967,100,AM,21/2/2018 15:00
5152,M,1974,100,AM,21/2/2018 15:00
21,M,1960,99,AM,21/2/2018 15:00
244,NA,1974,96,AM,21/2/2018 15:00
354,NA,1992,96,AM,21/2/2018 15:00
362,NA,1972,95,AM,21/2/2018 15:00
1269,NA,1984,93,AM,21/2/2018 15:00
1276,NA,1989,93,AM,21/2/2018 15:00
1627,M,1977,92,AM,21/2/2018 15:00
1700,NA,1990,92,AM,21/2/2018 15:00
1744,NA,1994,92,AM,21/2/2018 15:00
1848,NA,1988,90,AM,21/2/2018 15:00
1929,F,1972,89,AM,21/2/2018 15:00
2109,M,1958,89,AM,21/2/2018 15:00
2141,M,1973,89,AM,21/2/2018 15:00
2155,NA,1977,89,AM,21/2/2018 15:00
2234,NA,1991,89,AM,21/2/2018 15:00
2463,F,1968,88,AM,21/2/2018 15:00
2465,NA,1975,88,AM,21/2/2018 15:00
2515,NA,1985,88,AM,21/2/2018 15:00
2544,M,1975,86,AM,21/2/2018 15:00
2736,NA,1993,86,AM,21/2/2018 15:00
2748,NA,1986,85,AM,21/2/2018 15:00
2817,F,1970,84,AM,21/2/2018 15:00
3035,F,1973,84,AM,21/2/2018 15:00
3123,M,1957,84,AM,21/2/2018 15:00
3131,NA,1973,84,AM,21/2/2018 15:00
3180,NA,1971,82,AM,21/2/2018 15:00
3209,NA,1980,82,AM,21/2/2018 15:00
3264,NA,1995,82,AM,21/2/2018 15:00
3341,M,1966,81,AM,21/2/2018 15:00
3473,F,1974,80,AM,21/2/2018 15:00
3486,NA,1987,80,AM,21/2/2018 15:00
3493,F,1975,77,AM,21/2/2018 15:00
3619,F,1976,77,AM,21/2/2018 15:00
3682,M,1959,77,AM,21/2/2018 15:00
3684,NA,1968,77,AM,21/2/2018 15:00
3834,NA,1981,76,AM,21/2/2018 15:00
3839,NA,1969,74,AM,21/2/2018 15:00
3847,M,1976,73,AM,21/2/2018 15:00
4020,NA,1979,73,AM,21/2/2018 15:00
4063,NA,1982,72,AM,21/2/2018 15:00
4198,M,1979,69,AM,21/2/2018 15:00
4374,F,1969,68,AM,21/2/2018 15:00
4377,M,1978,68,AM,21/2/2018 15:00
4388,NA,1967,68,AM,21/2/2018 15:00
4573,NA,1983,68,AM,21/2/2018 15:00
4589,F,1985,66,AM,21/2/2018 15:00
4729,M,1956,66,AM,21/2/2018 15:00
4756,F,1962,65,AM,21/2/2018 15:00
4858,F,1964,65,AM,21/2/2018 15:00
4941,NA,1970,65,AM,21/2/2018 15:00
4953,F,1965,63,AM,21/2/2018 15:00
283,F,1977,62,AM,21/2/2018 15:00
296,M,1954,62,AM,21/2/2018 15:00
372,M,1955,62,AM,21/2/2018 15:00
1267,M,1981,62,AM,21/2/2018 15:00
1337,NA,1976,62,AM,21/2/2018 15:00
1344,F,1979,59,AM,21/2/2018 15:00
1419,M,1982,59,AM,21/2/2018 15:00
1507,NA,1965,58,AM,21/2/2018 15:00
1591,NA,1978,58,AM,21/2/2018 15:00
1593,F,1960,57,AM,21/2/2018 15:00
1633,F,1963,57,AM,21/2/2018 15:00
1701,F,1967,57,AM,21/2/2018 15:00
1815,F,1981,57,AM,21/2/2018 15:00
1854,M,1953,57,AM,21/2/2018 15:00
1945,M,1985,57,AM,21/2/2018 15:00
2032,NA,1966,57,AM,21/2/2018 15:00
2147,M,1990,55,AM,21/2/2018 15:00
2242,M,1980,54,AM,21/2/2018 15:00
2294,M,1986,54,AM,21/2/2018 15:00
2298,M,1989,54,AM,21/2/2018 15:00
2367,M,1999,54,AM,21/2/2018 15:00
2425,F,1978,51,AM,21/2/2018 15:00
2519,M,1988,51,AM,21/2/2018 15:00
2595,NA,1964,51,AM,21/2/2018 15:00
2599,F,1966,50,AM,21/2/2018 15:00
2645,F,1984,50,AM,21/2/2018 15:00
2747,NA,1962,50,AM,21/2/2018 15:00
2797,F,1957,49,AM,21/2/2018 15:00
2800,F,1987,49,AM,21/2/2018 15:00
2901,M,1983,49,AM,21/2/2018 15:00
3038,M,1993,49,AM,21/2/2018 15:00
3404,F,1999,47,AM,21/2/2018 15:00
3417,NA,1996,47,AM,21/2/2018 15:00
3468,M,1984,46,AM,21/2/2018 15:00
3472,NA,1958,46,AM,21/2/2018 15:00
3538,NA,1960,46,AM,21/2/2018 15:00
3566,M,1952,45,AM,21/2/2018 15:00
3617,NA,1961,45,AM,21/2/2018 15:00
3688,F,1988,43,AM,21/2/2018 15:00
3752,NA,1952,43,AM,21/2/2018 15:00
3790,NA,1954,43,AM,21/2/2018 15:00
3838,NA,1957,43,AM,21/2/2018 15:00
3876,F,1958,42,AM,21/2/2018 15:00
4288,F,1959,42,AM,21/2/2018 15:00
4350,NA,1955,42,AM,21/2/2018 15:00
4419,NA,1963,42,AM,21/2/2018 15:00
4422,F,1980,41,AM,21/2/2018 15:00
4509,F,1983,41,AM,21/2/2018 15:00
4864,F,1986,41,AM,21/2/2018 15:00
4865,M,1994,41,AM,21/2/2018 15:00
4878,NA,1948,41,AM,21/2/2018 15:00
158,NA,1959,41,AM,21/2/2018 15:00
284,F,1930,40,AM,21/2/2018 15:00
360,F,1933,40,AM,21/2/2018 15:00
375,F,1935,40,AM,21/2/2018 15:00
1274,F,1937,40,AM,21/2/2018 15:00
1279,F,1938,40,AM,21/2/2018 15:00
1329,F,1939,40,AM,21/2/2018 15:00
1416,F,1940,40,AM,21/2/2018 15:00
1424,F,1941,40,AM,21/2/2018 15:00
